gene,number,cluster
ABAT,18,1
ABL2,27,1
ACLY,47,1
ACTN2,88,1
ACTN3,89,1
ACVR1B,91,1
ACVR2B,93,1
ADARB2,105,1
ADCY1,107,1
ADCYAP1R1,117,1
PLIN2,123,1
ADH7,131,1
PARP1,142,1
ADRA1D,146,1
ADRA1B,147,1
ADRA2B,151,1
ADRB1,153,1
AP2B1,163,1
ALDH1A1,216,1
ALDOA,226,1
ALPI,248,1
ALPPL2,251,1
AMHR2,269,1
AMPD2,271,1
AMY1A,276,1
AMY2A,279,1
ANK1,286,1
ANPEP,290,1
ANXA1,301,1
ANXA6,309,1
AOX1,316,1
APAF1,317,1
AIRE,326,1
APRT,353,1
ARG1,383,1
ARG2,384,1
ARSE,415,1
ARVCF,421,1
ASIP,434,1
ASTN1,460,1
ATF4,468,1
RERE,473,1
ATOH1,474,1
ATOX1,475,1
ATP1A4,480,1
FXYD2,486,1
ATP2B3,492,1
ATP2B4,493,1
ATP4A,495,1
ATP5D,513,1
ATP5E,514,1
ATP5G1,516,1
ATP5G3,518,1
ATP5I,521,1
ATP6V0B,533,1
ATP6V0A1,535,1
ATP6AP1,537,1
KIF1A,547,1
AVPR2,554,1
B2M,567,1
BACH1,571,1
BAD,572,1
BARD1,580,1
BCL9,607,1
BHMT,635,1
BICD1,636,1
BID,637,1
BLK,640,1
BLMH,642,1
BMI1,648,1
BMPR1A,657,1
BRCA1,672,1
BST1,683,1
TSPO,706,1
C6,729,1
MPPED1,758,1
CA7,766,1
CA8,767,1
CACNA1A,773,1
CACNB4,785,1
CAD,790,1
CAMP,820,1
CASP9,842,1
CBLN1,869,1
CCIN,881,1
CCND2,894,1
CCNE1,898,1
CCNF,899,1
CCNT1,904,1
CCNT2,905,1
CD1E,913,1
CD22,933,1
SIGLEC6,946,1
SCARB1,949,1
ENTPD5,957,1
CD58,965,1
CD74,972,1
CDH2,1000,1
CDH3,1001,1
CDH10,1008,1
CDH13,1012,1
CDH17,1015,1
CDK8,1024,1
CDKN1B,1027,1
CDKN1C,1028,1
CEACAM5,1048,1
CFL1,1072,1
CEACAM7,1087,1
RCBTB2,1102,1
CHD4,1108,1
AKR1C4,1109,1
CHGB,1114,1
CHRM1,1128,1
CHRNA4,1137,1
CHRNB2,1141,1
CHRND,1144,1
CHRNE,1145,1
CHRNG,1146,1
CHUK,1147,1
CLCN3,1182,1
CLCN6,1185,1
CLCN7,1186,1
CLU,1191,1
CLIC1,1192,1
CLTB,1212,1
CMA1,1215,1
CCR6,1235,1
CNGA4,1262,1
CNTF,1270,1
COL2A1,1280,1
COL4A6,1288,1
COL9A2,1298,1
COL17A1,1308,1
COX6C,1345,1
COX7A2,1347,1
COX7B,1349,1
COX8A,1351,1
COX15,1355,1
CPOX,1371,1
CRABP2,1382,1
CREB1,1385,1
ATF2,1386,1
CREBBP,1387,1
CRIP1,1396,1
CRKL,1399,1
CRMP1,1400,1
CRY1,1407,1
CRYBA4,1413,1
CRYGD,1421,1
CRYZ,1429,1
NCAN,1463,1
SLC25A10,1468,1
CST1,1469,1
CST4,1472,1
CYBA,1535,1
CYC1,1537,1
CYP1A1,1543,1
CYP17A1,1586,1
CYP51A1,1595,1
DAB1,1600,1
DACH1,1602,1
CD55,1604,1
DBI,1622,1
DCC,1630,1
DDC,1644,1
DHX8,1659,1
DHX9,1660,1
DEFB1,1672,1
DES,1674,1
DFFA,1676,1
DLX1,1745,1
DLX2,1746,1
DLX4,1748,1
DNAH8,1769,1
DYNC1H1,1778,1
DYNC1LI2,1783,1
DNM2,1785,1
DNMT1,1786,1
TRDMT1,1787,1
DNMT3A,1788,1
DRD4,1815,1
ATN1,1822,1
DSC1,1823,1
DSG2,1829,1
DSG3,1830,1
TSC22D3,1831,1
DSPP,1834,1
DTNA,1837,1
DTX1,1840,1
DUSP4,1846,1
DUSP9,1852,1
E2F2,1870,1
PHC1,1911,1
EEF1D,1936,1
EFNB3,1949,1
CELSR3,1951,1
EIF2B1,1967,1
ELAVL3,1995,1
ELK4,2005,1
EN2,2020,1
ENDOG,2021,1
ENSA,2029,1
EPB41,2035,1
EPB41L2,2037,1
EPHA8,2046,1
STX2,2054,1
NR2F6,2063,1
EYA4,2070,1
ESR2,2100,1
ESRRB,2103,1
ETFB,2109,1
